task_id,household_id,device_id,energy_kwh,duration_min,start_time,end_time,earliest_start,latest_end,max_delay_min,comfort_class
vacuum_cleaner_63,retired_couple,vacuum_cleaner,0.52,26,2024-01-25 10:20:00,2024-01-25 10:46:00,2024-01-25 10:20:00,2024-01-25 10:46:00,0,none
washing_machine_64,retired_couple,washing_machine,0.5417,65,2024-01-25 11:00:00,2024-01-25 12:05:00,2024-01-25 11:00:00,2024-01-25 18:05:00,360,low
electric_stove_65,retired_couple,electric_stove,0.88,22,2024-01-26 08:50:00,2024-01-26 09:12:00,2024-01-26 08:50:00,2024-01-26 09:12:00,0,none
washing_machine_66,retired_couple,washing_machine,0.4667,56,2024-01-27 09:40:00,2024-01-27 10:36:00,2024-01-27 09:40:00,2024-01-27 16:36:00,360,low
dishwasher_67,retired_couple,dishwasher,2.06,103,2024-01-27 13:30:00,2024-01-27 15:13:00,2024-01-27 13:30:00,2024-01-28 03:13:00,720,low
dryer_68,retired_couple,dryer,2.45,49,2024-01-27 13:50:00,2024-01-27 14:39:00,2024-01-27 13:50:00,2024-01-27 20:39:00,360,low
washing_machine_69,retired_couple,washing_machine,0.4417,53,2024-01-28 10:50:00,2024-01-28 11:43:00,2024-01-28 10:50:00,2024-01-28 17:43:00,360,low
dryer_70,retired_couple,dryer,2.45,49,2024-01-28 14:00:00,2024-01-28 14:49:00,2024-01-28 14:00:00,2024-01-28 20:49:00,360,low
dishwasher_71,retired_couple,dishwasher,1.92,96,2024-01-28 19:10:00,2024-01-28 20:46:00,2024-01-28 19:10:00,2024-01-29 08:46:00,720,low
electric_stove_72,retired_couple,electric_stove,0.92,23,2024-01-29 08:10:00,2024-01-29 08:33:00,2024-01-29 08:10:00,2024-01-29 08:33:00,0,none
washing_machine_73,retired_couple,washing_machine,0.4333,52,2024-01-29 10:40:00,2024-01-29 11:32:00,2024-01-29 10:40:00,2024-01-29 17:32:00,360,low
dryer_74,retired_couple,dryer,2.4,48,2024-01-29 15:00:00,2024-01-29 15:48:00,2024-01-29 15:00:00,2024-01-29 21:48:00,360,low
electric_stove_75,retired_couple,electric_stove,1.0,25,2024-01-29 17:50:00,2024-01-29 18:15:00,2024-01-29 17:50:00,2024-01-29 18:15:00,0,none
dishwasher_76,retired_couple,dishwasher,1.84,92,2024-01-29 20:40:00,2024-01-29 22:12:00,2024-01-29 20:40:00,2024-01-30 10:12:00,720,low
electric_stove_77,retired_couple,electric_stove,0.92,23,2024-01-29 22:50:00,2024-01-29 23:13:00,2024-01-29 22:50:00,2024-01-29 23:13:00,0,none
vacuum_cleaner_78,retired_couple,vacuum_cleaner,0.46,23,2024-01-30 11:30:00,2024-01-30 11:53:00,2024-01-30 11:30:00,2024-01-30 11:53:00,0,none
washing_machine_79,retired_couple,washing_machine,0.5333,64,2024-01-31 10:10:00,2024-01-31 11:14:00,2024-01-31 10:10:00,2024-01-31 17:14:00,360,low
vacuum_cleaner_80,retired_couple,vacuum_cleaner,0.38,19,2024-01-31 10:20:00,2024-01-31 10:39:00,2024-01-31 10:20:00,2024-01-31 10:39:00,0,none
dryer_81,retired_couple,dryer,2.4,48,2024-01-31 14:00:00,2024-01-31 14:48:00,2024-01-31 14:00:00,2024-01-31 20:48:00,360,low
electric_stove_82,retired_couple,electric_stove,1.16,29,2024-01-31 18:40:00,2024-01-31 19:09:00,2024-01-31 18:40:00,2024-01-31 19:09:00,0,none
dishwasher_83,retired_couple,dishwasher,1.6,80,2024-01-31 19:20:00,2024-01-31 20:40:00,2024-01-31 19:20:00,2024-02-01 08:40:00,720,low
electric_stove_84,retired_couple,electric_stove,1.0,25,2024-01-31 21:00:00,2024-01-31 21:25:00,2024-01-31 21:00:00,2024-01-31 21:25:00,0,none
electric_stove_85,retired_couple,electric_stove,1.0,25,2024-01-31 23:10:00,2024-01-31 23:35:00,2024-01-31 23:10:00,2024-01-31 23:35:00,0,none
electric_stove_86,retired_couple,electric_stove,1.08,27,2024-02-01 12:10:00,2024-02-01 12:37:00,2024-02-01 12:10:00,2024-02-01 12:37:00,0,none
electric_stove_87,retired_couple,electric_stove,0.92,23,2024-02-01 18:50:00,2024-02-01 19:13:00,2024-02-01 18:50:00,2024-02-01 19:13:00,0,none
electric_stove_88,retired_couple,electric_stove,1.04,26,2024-02-02 08:30:00,2024-02-02 08:56:00,2024-02-02 08:30:00,2024-02-02 08:56:00,0,none
vacuum_cleaner_89,retired_couple,vacuum_cleaner,0.5,25,2024-02-02 11:40:00,2024-02-02 12:05:00,2024-02-02 11:40:00,2024-02-02 12:05:00,0,none
electric_stove_90,retired_couple,electric_stove,0.92,23,2024-02-02 12:50:00,2024-02-02 13:13:00,2024-02-02 12:50:00,2024-02-02 13:13:00,0,none
washing_machine_91,retired_couple,washing_machine,0.5083,61,2024-02-03 11:30:00,2024-02-03 12:31:00,2024-02-03 11:30:00,2024-02-03 18:31:00,360,low
dryer_92,retired_couple,dryer,2.85,57,2024-02-03 16:10:00,2024-02-03 17:07:00,2024-02-03 16:10:00,2024-02-03 23:07:00,360,low
electric_stove_93,retired_couple,electric_stove,1.08,27,2024-02-03 18:30:00,2024-02-03 18:57:00,2024-02-03 18:30:00,2024-02-03 18:57:00,0,none
dishwasher_94,retired_couple,dishwasher,1.76,88,2024-02-03 19:10:00,2024-02-03 20:38:00,2024-02-03 19:10:00,2024-02-04 08:38:00,720,low
electric_stove_95,retired_couple,electric_stove,1.28,32,2024-02-05 12:20:00,2024-02-05 12:52:00,2024-02-05 12:20:00,2024-02-05 12:52:00,0,none
electric_stove_96,retired_couple,electric_stove,0.96,24,2024-02-05 18:10:00,2024-02-05 18:34:00,2024-02-05 18:10:00,2024-02-05 18:34:00,0,none
electric_stove_97,retired_couple,electric_stove,0.88,22,2024-02-06 12:30:00,2024-02-06 12:52:00,2024-02-06 12:30:00,2024-02-06 12:52:00,0,none
electric_stove_98,retired_couple,electric_stove,1.04,26,2024-02-06 18:40:00,2024-02-06 19:06:00,2024-02-06 18:40:00,2024-02-06 19:06:00,0,none
washing_machine_99,retired_couple,washing_machine,0.5083,61,2024-02-07 13:20:00,2024-02-07 14:21:00,2024-02-07 13:20:00,2024-02-07 20:21:00,360,low
dryer_100,retired_couple,dryer,2.6,52,2024-02-07 17:50:00,2024-02-07 18:42:00,2024-02-07 17:50:00,2024-02-08 00:42:00,360,low
dishwasher_101,retired_couple,dishwasher,1.78,89,2024-02-07 19:50:00,2024-02-07 21:19:00,2024-02-07 19:50:00,2024-02-08 09:19:00,720,low
vacuum_cleaner_102,retired_couple,vacuum_cleaner,0.48,24,2024-02-08 11:40:00,2024-02-08 12:04:00,2024-02-08 11:40:00,2024-02-08 12:04:00,0,none
electric_stove_103,retired_couple,electric_stove,0.92,23,2024-02-08 12:50:00,2024-02-08 13:13:00,2024-02-08 12:50:00,2024-02-08 13:13:00,0,none
dishwasher_104,retired_couple,dishwasher,1.78,89,2024-02-08 13:50:00,2024-02-08 15:19:00,2024-02-08 13:50:00,2024-02-09 03:19:00,720,low
electric_stove_105,retired_couple,electric_stove,1.04,26,2024-02-08 17:20:00,2024-02-08 17:46:00,2024-02-08 17:20:00,2024-02-08 17:46:00,0,none
electric_stove_106,retired_couple,electric_stove,1.08,27,2024-02-09 08:40:00,2024-02-09 09:07:00,2024-02-09 08:40:00,2024-02-09 09:07:00,0,none
vacuum_cleaner_107,retired_couple,vacuum_cleaner,0.54,27,2024-02-09 09:20:00,2024-02-09 09:47:00,2024-02-09 09:20:00,2024-02-09 09:47:00,0,none
dishwasher_108,retired_couple,dishwasher,1.78,89,2024-02-10 12:40:00,2024-02-10 14:09:00,2024-02-10 12:40:00,2024-02-11 02:09:00,720,low
electric_stove_109,retired_couple,electric_stove,1.08,27,2024-02-10 18:10:00,2024-02-10 18:37:00,2024-02-10 18:10:00,2024-02-10 18:37:00,0,none
electric_stove_110,retired_couple,electric_stove,0.88,22,2024-02-10 23:10:00,2024-02-10 23:32:00,2024-02-10 23:10:00,2024-02-10 23:32:00,0,none
electric_stove_111,retired_couple,electric_stove,0.88,22,2024-02-11 12:20:00,2024-02-11 12:42:00,2024-02-11 12:20:00,2024-02-11 12:42:00,0,none
washing_machine_112,retired_couple,washing_machine,0.4167,50,2024-02-12 09:40:00,2024-02-12 10:30:00,2024-02-12 09:40:00,2024-02-12 16:30:00,360,low
dryer_113,retired_couple,dryer,2.65,53,2024-02-12 14:00:00,2024-02-12 14:53:00,2024-02-12 14:00:00,2024-02-12 20:53:00,360,low
washing_machine_114,retired_couple,washing_machine,0.5333,64,2024-02-12 15:00:00,2024-02-12 16:04:00,2024-02-12 15:00:00,2024-02-12 22:04:00,360,low
electric_stove_115,retired_couple,electric_stove,1.08,27,2024-02-12 17:40:00,2024-02-12 18:07:00,2024-02-12 17:40:00,2024-02-12 18:07:00,0,none
electric_stove_116,retired_couple,electric_stove,1.16,29,2024-02-12 22:50:00,2024-02-12 23:19:00,2024-02-12 22:50:00,2024-02-12 23:19:00,0,none
vacuum_cleaner_117,retired_couple,vacuum_cleaner,0.42,21,2024-02-13 10:10:00,2024-02-13 10:31:00,2024-02-13 10:10:00,2024-02-13 10:31:00,0,none
washing_machine_118,retired_couple,washing_machine,0.4667,56,2024-02-13 14:10:00,2024-02-13 15:06:00,2024-02-13 14:10:00,2024-02-13 21:06:00,360,low
dryer_119,retired_couple,dryer,2.4,48,2024-02-13 17:00:00,2024-02-13 17:48:00,2024-02-13 17:00:00,2024-02-13 23:48:00,360,low
electric_stove_120,retired_couple,electric_stove,0.92,23,2024-02-13 18:50:00,2024-02-13 19:13:00,2024-02-13 18:50:00,2024-02-13 19:13:00,0,none
vacuum_cleaner_121,retired_couple,vacuum_cleaner,0.52,26,2024-02-14 10:00:00,2024-02-14 10:26:00,2024-02-14 10:00:00,2024-02-14 10:26:00,0,none
electric_stove_122,retired_couple,electric_stove,0.84,21,2024-02-14 17:00:00,2024-02-14 17:21:00,2024-02-14 17:00:00,2024-02-14 17:21:00,0,none
electric_stove_123,retired_couple,electric_stove,1.12,28,2024-02-14 18:50:00,2024-02-14 19:18:00,2024-02-14 18:50:00,2024-02-14 19:18:00,0,none
electric_stove_124,retired_couple,electric_stove,1.08,27,2024-02-15 08:50:00,2024-02-15 09:17:00,2024-02-15 08:50:00,2024-02-15 09:17:00,0,none
electric_stove_125,retired_couple,electric_stove,0.96,24,2024-02-15 12:50:00,2024-02-15 13:14:00,2024-02-15 12:50:00,2024-02-15 13:14:00,0,none
dishwasher_126,retired_couple,dishwasher,1.74,87,2024-02-15 13:20:00,2024-02-15 14:47:00,2024-02-15 13:20:00,2024-02-16 02:47:00,720,low
electric_stove_127,retired_couple,electric_stove,1.0,25,2024-02-16 12:00:00,2024-02-16 12:25:00,2024-02-16 12:00:00,2024-02-16 12:25:00,0,none
washing_machine_128,retired_couple,washing_machine,0.4417,53,2024-02-17 09:00:00,2024-02-17 09:53:00,2024-02-17 09:00:00,2024-02-17 15:53:00,360,low
electric_stove_129,retired_couple,electric_stove,1.08,27,2024-02-17 12:30:00,2024-02-17 12:57:00,2024-02-17 12:30:00,2024-02-17 12:57:00,0,none
dryer_130,retired_couple,dryer,2.4,48,2024-02-17 13:40:00,2024-02-17 14:28:00,2024-02-17 13:40:00,2024-02-17 20:28:00,360,low
electric_stove_131,retired_couple,electric_stove,1.04,26,2024-02-17 17:40:00,2024-02-17 18:06:00,2024-02-17 17:40:00,2024-02-17 18:06:00,0,none
dishwasher_132,retired_couple,dishwasher,1.5,75,2024-02-17 20:50:00,2024-02-17 22:05:00,2024-02-17 20:50:00,2024-02-18 10:05:00,720,low
electric_stove_133,retired_couple,electric_stove,0.96,24,2024-02-18 12:20:00,2024-02-18 12:44:00,2024-02-18 12:20:00,2024-02-18 12:44:00,0,none
dishwasher_134,retired_couple,dishwasher,1.84,92,2024-02-18 19:10:00,2024-02-18 20:42:00,2024-02-18 19:10:00,2024-02-19 08:42:00,720,low
electric_stove_135,retired_couple,electric_stove,0.88,22,2024-02-19 12:20:00,2024-02-19 12:42:00,2024-02-19 12:20:00,2024-02-19 12:42:00,0,none
washing_machine_136,retired_couple,washing_machine,0.525,63,2024-02-19 12:30:00,2024-02-19 13:33:00,2024-02-19 12:30:00,2024-02-19 19:33:00,360,low
dryer_137,retired_couple,dryer,2.55,51,2024-02-19 14:20:00,2024-02-19 15:11:00,2024-02-19 14:20:00,2024-02-19 21:11:00,360,low
electric_stove_138,retired_couple,electric_stove,0.96,24,2024-02-20 08:00:00,2024-02-20 08:24:00,2024-02-20 08:00:00,2024-02-20 08:24:00,0,none
electric_stove_139,retired_couple,electric_stove,1.08,27,2024-02-20 17:00:00,2024-02-20 17:27:00,2024-02-20 17:00:00,2024-02-20 17:27:00,0,none
electric_stove_140,retired_couple,electric_stove,0.84,21,2024-02-20 18:20:00,2024-02-20 18:41:00,2024-02-20 18:20:00,2024-02-20 18:41:00,0,none
vacuum_cleaner_141,retired_couple,vacuum_cleaner,0.46,23,2024-02-21 09:30:00,2024-02-21 09:53:00,2024-02-21 09:30:00,2024-02-21 09:53:00,0,none
washing_machine_142,retired_couple,washing_machine,0.45,54,2024-02-21 13:00:00,2024-02-21 13:54:00,2024-02-21 13:00:00,2024-02-21 19:54:00,360,low
dryer_143,retired_couple,dryer,2.75,55,2024-02-21 16:30:00,2024-02-21 17:25:00,2024-02-21 16:30:00,2024-02-21 23:25:00,360,low
electric_stove_144,retired_couple,electric_stove,1.08,27,2024-02-22 08:40:00,2024-02-22 09:07:00,2024-02-22 08:40:00,2024-02-22 09:07:00,0,none
electric_stove_145,retired_couple,electric_stove,0.92,23,2024-02-22 18:20:00,2024-02-22 18:43:00,2024-02-22 18:20:00,2024-02-22 18:43:00,0,none
vacuum_cleaner_146,retired_couple,vacuum_cleaner,0.48,24,2024-02-23 10:10:00,2024-02-23 10:34:00,2024-02-23 10:10:00,2024-02-23 10:34:00,0,none
dishwasher_147,retired_couple,dishwasher,1.88,94,2024-02-23 19:40:00,2024-02-23 21:14:00,2024-02-23 19:40:00,2024-02-24 09:14:00,720,low
electric_stove_148,retired_couple,electric_stove,0.76,19,2024-02-24 08:10:00,2024-02-24 08:29:00,2024-02-24 08:10:00,2024-02-24 08:29:00,0,none
electric_stove_149,retired_couple,electric_stove,1.0,25,2024-02-24 17:30:00,2024-02-24 17:55:00,2024-02-24 17:30:00,2024-02-24 17:55:00,0,none
electric_stove_150,retired_couple,electric_stove,1.0,25,2024-02-25 17:50:00,2024-02-25 18:15:00,2024-02-25 17:50:00,2024-02-25 18:15:00,0,none
electric_stove_151,retired_couple,electric_stove,1.0,25,2024-02-25 23:50:00,2024-02-26 00:15:00,2024-02-25 23:50:00,2024-02-26 00:15:00,0,none
electric_stove_152,retired_couple,electric_stove,0.96,24,2024-02-26 08:20:00,2024-02-26 08:44:00,2024-02-26 08:20:00,2024-02-26 08:44:00,0,none
washing_machine_153,retired_couple,washing_machine,0.4833,58,2024-02-26 09:10:00,2024-02-26 10:08:00,2024-02-26 09:10:00,2024-02-26 16:08:00,360,low
vacuum_cleaner_154,retired_couple,vacuum_cleaner,0.5,25,2024-02-26 10:30:00,2024-02-26 10:55:00,2024-02-26 10:30:00,2024-02-26 10:55:00,0,none
dryer_155,retired_couple,dryer,2.1,42,2024-02-26 13:50:00,2024-02-26 14:32:00,2024-02-26 13:50:00,2024-02-26 20:32:00,360,low
electric_stove_156,retired_couple,electric_stove,1.12,28,2024-02-27 18:20:00,2024-02-27 18:48:00,2024-02-27 18:20:00,2024-02-27 18:48:00,0,none
electric_stove_157,retired_couple,electric_stove,1.08,27,2024-02-27 20:30:00,2024-02-27 20:57:00,2024-02-27 20:30:00,2024-02-27 20:57:00,0,none
washing_machine_158,retired_couple,washing_machine,0.475,57,2024-02-28 10:20:00,2024-02-28 11:17:00,2024-02-28 10:20:00,2024-02-28 17:17:00,360,low
electric_stove_159,retired_couple,electric_stove,0.96,24,2024-02-28 12:20:00,2024-02-28 12:44:00,2024-02-28 12:20:00,2024-02-28 12:44:00,0,none
dryer_160,retired_couple,dryer,2.2,44,2024-02-28 13:00:00,2024-02-28 13:44:00,2024-02-28 13:00:00,2024-02-28 19:44:00,360,low
electric_stove_161,retired_couple,electric_stove,0.96,24,2024-02-29 08:00:00,2024-02-29 08:24:00,2024-02-29 08:00:00,2024-02-29 08:24:00,0,none
electric_stove_162,retired_couple,electric_stove,0.96,24,2024-02-29 12:10:00,2024-02-29 12:34:00,2024-02-29 12:10:00,2024-02-29 12:34:00,0,none
dishwasher_163,retired_couple,dishwasher,2.0,100,2024-02-29 19:40:00,2024-02-29 21:20:00,2024-02-29 19:40:00,2024-03-01 09:20:00,720,low
vacuum_cleaner_164,retired_couple,vacuum_cleaner,0.44,22,2024-03-01 11:50:00,2024-03-01 12:12:00,2024-03-01 11:50:00,2024-03-01 12:12:00,0,none
dishwasher_165,retired_couple,dishwasher,1.74,87,2024-03-01 13:00:00,2024-03-01 14:27:00,2024-03-01 13:00:00,2024-03-02 02:27:00,720,low
washing_machine_166,retired_couple,washing_machine,0.4167,50,2024-03-01 13:10:00,2024-03-01 14:00:00,2024-03-01 13:10:00,2024-03-01 20:00:00,360,low
dryer_167,retired_couple,dryer,2.45,49,2024-03-01 14:40:00,2024-03-01 15:29:00,2024-03-01 14:40:00,2024-03-01 21:29:00,360,low
