Electricity.Timestep,Time,HH1 - Kitchen - Dishwasher NEFF SD6P1F (2011) [kWh],HH1 - Kitchen - Dryer / Miele T 8626 WP [kWh],HH1 - Garden - Hedge Trimmer / Bosch AHS 550-24 ST [kWh],HH1 - Garden - Atika LH 2500 G [kWh],HH1 - Garden - Lawn Mower / Sabo 32-EL [kWh],HH1 - Kitchen - Washing Machine / Bosch WAE 28143 [kWh],HH1 - Bath - Hair Dryer Braun Silencio 1250 [kWh],HH1 - Kitchen - Vacuum Cleaner Robot / iRobot Roomba 555 [kWh],HH1 - Kitchen - Vacuum Cleaner Robot / iRobot Roomba 555 [kWh].1,HH1 - Kitchen - Vacuum Cleaner Robot / iRobot Roomba 555 [kWh].2,HH1 - Kitchen - Vacuum Cleaner Robot / iRobot Roomba 555 [kWh].3
840,1/1/2016 14:00,0.0,0.872643926257332,0.0,0.0,0.0,0.0,0.0891457352445721,0.0,0,0.002962824282315,0
900,1/1/2016 15:00,0.0,0.460479146097765,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030140909845315,0
960,1/1/2016 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029905784680728,0
1020,1/1/2016 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029675816259226,0
1080,1/1/2016 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029601342438489,0
1140,1/1/2016 19:00,0.747685515480874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030909423370184,0
1200,1/1/2016 20:00,0.0267149923032787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030281515258523,0
1260,1/1/2016 21:00,0.099826307409836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030348720228408,0
1320,1/1/2016 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029466412479743,0
1380,1/1/2016 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029937798962863,0
1440,1/2/2016 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029563033652093,0
1500,1/2/2016 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029909978683308,0
1560,1/2/2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030877832147499,0
1620,1/2/2016 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029831817586945,0
1680,1/2/2016 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.003000830908469,0
1740,1/2/2016 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029723823297023,0
1800,1/2/2016 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030299955558755,0
1860,1/2/2016 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029588498642708,0
1920,1/2/2016 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030288852753406,0
1980,1/2/2016 09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030070332671381,0
2040,1/2/2016 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030642245736866,0
2100,1/2/2016 11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029535758902522,0
2160,1/2/2016 12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030648213218555,0
2220,1/2/2016 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030741138159396,0
2280,1/2/2016 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030778538316833,0
2340,1/2/2016 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030016110141503,0
2400,1/2/2016 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029796631852076,0
2460,1/2/2016 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030012545939381,0
2520,1/2/2016 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029887937208979,0
2580,1/2/2016 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029885009874632,0
2640,1/2/2016 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030011372211407,0
2700,1/2/2016 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030144071010741,0
2760,1/2/2016 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030071428037827,0
2820,1/2/2016 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030651158621608,0
2880,1/3/2016 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030507944712219,0
2940,1/3/2016 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029899598040963,0
3000,1/3/2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029647445274224,0
3060,1/3/2016 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029966118844526,0
3120,1/3/2016 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029060618079922,0
3180,1/3/2016 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029878131330454,0
3240,1/3/2016 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029174343394923,0
3300,1/3/2016 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029725154638068,0
3360,1/3/2016 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029914650814162,0
3420,1/3/2016 09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0382034427543977,0.0,0,0.0029724889406186,0
3480,1/3/2016 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0339191176469603,0.0,0,0.0029778525473826,0
3540,1/3/2016 11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030117053474641,0
3600,1/3/2016 12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0031050620324209,0
3660,1/3/2016 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030756109707538,0
3720,1/3/2016 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029913842688092,0
3780,1/3/2016 15:00,0.6815450694153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029977792342449,0
3840,1/3/2016 16:00,0.150386814505464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030285505964837,0
3900,1/3/2016 17:00,0.0039473269726775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030204194303018,0
3960,1/3/2016 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029854029438466,0
4020,1/3/2016 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029924721739667,0
4080,1/3/2016 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.002956707651532,0
4140,1/3/2016 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029794781189808,0
4200,1/3/2016 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029911750031395,0
4260,1/3/2016 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030159738296109,0
4320,1/4/2016 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030043114230841,0
4380,1/4/2016 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030308527732787,0
4440,1/4/2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029886475220321,0
4500,1/4/2016 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.002966625178061,0
4560,1/4/2016 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030364225165168,0
4620,1/4/2016 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030600618295688,0
4680,1/4/2016 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030180911754321,0
4740,1/4/2016 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029865469841478,0
4800,1/4/2016 08:00,0.0,0.0,0.0,0.0,0.0,0.655463982353163,0.0,0.0,0,0.0029523665017841,0
4860,1/4/2016 09:00,0.0,0.0,0.0,0.0,0.0,0.103970246155454,0.0,0.0,0,0.0030480437195537,0
4920,1/4/2016 10:00,0.0,0.0,0.0,0.0,0.0,0.0934220813642059,0.0,0.0,0,0.0029782123038134,0
4980,1/4/2016 11:00,0.0,0.690077525489286,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030465089421127,0
5040,1/4/2016 12:00,0.0,0.807586584630393,0.0,0.0,0.0,0.0,0.0,0.0,0,0.002976196517908,0
5100,1/4/2016 13:00,0.0,0.180760872084683,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030533924353175,0
5160,1/4/2016 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0140542970555825,0,0.0016093276791755,0
5220,1/4/2016 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0300976979763549,0,0.0,0
5280,1/4/2016 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301094588438753,0,0.0,0
5340,1/4/2016 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0258796138894559,0,0.0004703287294038,0
5400,1/4/2016 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029755566086481,0
5460,1/4/2016 19:00,0.0011563023751366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029622976040273,0
5520,1/4/2016 20:00,0.815435122677595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030171466372607,0
5580,1/4/2016 21:00,0.0568243843278688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030254920755516,0
5640,1/4/2016 22:00,0.102243467483606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029762024709955,0
5700,1/4/2016 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029455738152918,0
5760,1/5/2016 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029716760282652,0
5820,1/5/2016 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029916372577996,0
5880,1/5/2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030522358012953,0
5940,1/5/2016 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.002995721445758,0
6000,1/5/2016 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029824164428576,0
6060,1/5/2016 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029601038052136,0
6120,1/5/2016 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029604300236403,0
6180,1/5/2016 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029811817489972,0
6240,1/5/2016 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0654699140798958,0.0,0,0.0030217916781439,0
6300,1/5/2016 09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030620298797155,0
6360,1/5/2016 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030612237280585,0
6420,1/5/2016 11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029840235513591,0
6480,1/5/2016 12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.003010934863027,0
6540,1/5/2016 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029351033845047,0
6600,1/5/2016 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030907591758128,0
6660,1/5/2016 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030630526308444,0
6720,1/5/2016 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030296066053754,0
6780,1/5/2016 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030320275486513,0
6840,1/5/2016 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029616375070647,0
6900,1/5/2016 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029943680668724,0
6960,1/5/2016 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030541240392692,0
7020,1/5/2016 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029587055134197,0
7080,1/5/2016 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029977157498346,0
7140,1/5/2016 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030043233542601,0
7200,1/6/2016 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029316065000852,0
7260,1/6/2016 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029599118982968,0
7320,1/6/2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029969640315781,0
7380,1/6/2016 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030292159281655,0
7440,1/6/2016 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030031409102416,0
7500,1/6/2016 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029769323834485,0
7560,1/6/2016 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029807798935173,0
7620,1/6/2016 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030578161609478,0
7680,1/6/2016 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029825479813513,0
7740,1/6/2016 09:00,0.698009826601093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030339732728718,0
7800,1/6/2016 10:00,0.117690332278688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030383281727213,0
7860,1/6/2016 11:00,0.0028147720163934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030090662066199,0
7920,1/6/2016 12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029827963466594,0
7980,1/6/2016 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029841236278083,0
8040,1/6/2016 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029768995698843,0
8100,1/6/2016 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.003044076650966,0
8160,1/6/2016 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029977844286884,0
8220,1/6/2016 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030002647954322,0
8280,1/6/2016 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029851204608853,0
8340,1/6/2016 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029730935080026,0
8400,1/6/2016 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030738416545745,0
8460,1/6/2016 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029667325345432,0
8520,1/6/2016 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.002972076499906,0
8580,1/6/2016 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029950118158076,0
8640,1/7/2016 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029548470795353,0
8700,1/7/2016 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030045362981773,0
8760,1/7/2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029667285205688,0
8820,1/7/2016 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030036262202654,0
8880,1/7/2016 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029691752429596,0
8940,1/7/2016 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030406145557139,0
9000,1/7/2016 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030321008501996,0
9060,1/7/2016 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029706706798113,0
9120,1/7/2016 08:00,0.0,0.0,0.0,0.0,0.0,0.0084144747746369,0.0719121747283183,0.0,0,0.0029919366837236,0
9180,1/7/2016 09:00,0.0,0.0,0.0,0.0,0.0,0.537250601936517,0.0,0.0,0,0.0029551307892293,0
9240,1/7/2016 10:00,0.260985067666667,0.0,0.0,0.0,0.0,0.113221946098599,0.0,0.0,0,0.0029778105915817,0
9300,1/7/2016 11:00,0.517163886120218,0.0,0.0,0.0,0.0,0.0063637883372959,0.0,0.0,0,0.0030040165586467,0
9360,1/7/2016 12:00,0.143442623196721,0.635770643414009,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030244723477702,0
9420,1/7/2016 13:00,0.0011253018934426,0.812614377916649,0.0,0.0,0.0,0.0,0.0,0.0,0,0.002971501470765,0
9480,1/7/2016 14:00,0.0,0.249100594831179,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029118983318612,0
9540,1/7/2016 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029648488708018,0
9600,1/7/2016 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030220460282879,0
9660,1/7/2016 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030414239982721,0
9720,1/7/2016 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030652331310737,0
9780,1/7/2016 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029197697416843,0
9840,1/7/2016 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030171120215921,0
9900,1/7/2016 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029760072160234,0
9960,1/7/2016 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030001525199215,0
10020,1/7/2016 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029523292081819,0
10080,1/8/2016 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029968685657669,0
10140,1/8/2016 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029818130059203,0
10200,1/8/2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029434040494431,0
10260,1/8/2016 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030315011453486,0
10320,1/8/2016 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030361979279772,0
10380,1/8/2016 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029983978111916,0
10440,1/8/2016 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.003019327271974,0
10500,1/8/2016 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029965323803686,0
10560,1/8/2016 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029455434028346,0
10620,1/8/2016 09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029757078577579,0
10680,1/8/2016 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.003017623611358,0
10740,1/8/2016 11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030131330326224,0
10800,1/8/2016 12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030395480517702,0
10860,1/8/2016 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030787187748584,0
10920,1/8/2016 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029861051757668,0
10980,1/8/2016 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029824919957018,0
11040,1/8/2016 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030304294497176,0
11100,1/8/2016 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.002997219300466,0
11160,1/8/2016 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030136073134496,0
11220,1/8/2016 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029933083881398,0
11280,1/8/2016 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029887522222628,0
11340,1/8/2016 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030213851976533,0
11400,1/8/2016 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030368866993789,0
11460,1/8/2016 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029211587627555,0
11520,1/9/2016 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030171581506515,0
11580,1/9/2016 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029775761175042,0
11640,1/9/2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030987590797517,0
11700,1/9/2016 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029808450653038,0
11760,1/9/2016 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030380832673065,0
11820,1/9/2016 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.002979782564919,0
11880,1/9/2016 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029785110084684,0
11940,1/9/2016 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029355894484657,0
12000,1/9/2016 08:00,0.0005228804625683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029957482602311,0
12060,1/9/2016 09:00,1.01398646928962,0.0,0.0,0.0,0.0,0.0,0.393439932365092,0.0,0,0.0030084010358258,0
12120,1/9/2016 10:00,0.0274361437704918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030676500840791,0
12180,1/9/2016 11:00,0.170459244442623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.003005415329928,0
12240,1/9/2016 12:00,0.003238753478142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029890196563413,0
12300,1/9/2016 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030140469737958,0
12360,1/9/2016 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030226139028575,0
12420,1/9/2016 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0240349399532966,0,0.0006051066086411,0
12480,1/9/2016 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0296439713793627,0,0.0,0
12540,1/9/2016 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301546379122734,0,0.0,0
12600,1/9/2016 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137014237396451,0,0.0016628887820996,0
12660,1/9/2016 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029910851854416,0
12720,1/9/2016 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030138573607631,0
12780,1/9/2016 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030850801928485,0
12840,1/9/2016 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030381027905577,0
12900,1/9/2016 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029724229320885,0
12960,1/10/2016 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030380703450278,0
13020,1/10/2016 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030188923857829,0
13080,1/10/2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029317002588163,0
