Latitude (decimal degrees):	45.044
Longitude (decimal degrees):	7.639
Elevation (m):	257
Radiation database:	PVGIS-ERA5


Slope: 42 deg. (optimum)
Azimuth: -3 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	83.2
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190427:1530,25713.43,283.97,105.65,11.04,30.34,19.99,0.97,0.0
20190427:1630,10489.5,129.8,62.2,7.24,19.81,19.85,0.83,0.0
20190427:1730,1507.66,0.0,34.69,1.12,9.27,19.14,0.9,0.0
20190427:1830,0.0,0.0,0.0,0.0,-0.93,16.99,1.38,0.0
20190427:1930,0.0,0.0,0.0,0.0,0.0,14.04,1.66,0.0
20190427:2030,0.0,0.0,0.0,0.0,0.0,14.81,1.03,0.0
20190427:2130,0.0,0.0,0.0,0.0,0.0,13.78,0.97,0.0
20190427:2230,0.0,0.0,0.0,0.0,0.0,10.83,1.38,0.0
20190427:2330,0.0,0.0,0.0,0.0,0.0,8.74,1.72,0.0
20190428:0030,0.0,0.0,0.0,0.0,0.0,7.01,2.14,0.0
20190428:0130,0.0,0.0,0.0,0.0,0.0,6.04,2.14,0.0
20190428:0230,0.0,0.0,0.0,0.0,0.0,5.42,2.07,0.0
20190428:0330,0.0,0.0,0.0,0.0,0.0,4.82,2.14,0.0
20190428:0430,29.97,0.0,6.28,0.2,0.25,4.47,2.14,0.0
20190428:0530,2898.76,24.51,43.01,3.21,10.48,4.41,2.0,0.0
20190428:0630,18676.3,217.52,68.14,8.3,21.04,6.93,1.45,0.0
20190428:0730,36098.03,420.96,97.08,12.91,31.55,12.22,1.66,0.0
20190428:0830,49561.22,594.67,124.8,16.86,41.59,13.8,1.72,0.0
20190428:0930,60270.5,766.84,134.26,20.51,50.43,14.94,1.59,0.0
20190428:1030,65993.94,863.25,137.62,22.57,56.84,15.9,1.86,0.0
20190428:1130,65651.78,831.81,165.99,22.64,59.11,16.55,1.93,0.0
20190428:1230,62699.74,777.17,169.67,21.87,56.36,16.98,2.0,0.0
20190428:1330,55839.94,698.31,131.89,19.82,49.64,17.17,2.0,0.0
20190428:1430,41327.8,427.87,175.46,15.37,40.64,17.25,2.0,0.0
20190428:1530,28086.88,308.95,106.92,11.87,30.53,16.85,2.0,0.0
20190428:1630,11283.7,140.13,61.89,7.74,19.99,16.31,2.07,0.0
20190428:1730,1564.27,0.0,35.09,1.13,9.46,15.47,1.79,0.0
20190428:1830,0.0,0.0,0.0,0.0,-0.73,13.88,2.0,0.0
20190428:1930,0.0,0.0,0.0,0.0,0.0,11.7,1.93,0.0
20190428:2030,0.0,0.0,0.0,0.0,0.0,9.58,2.0,0.0
20190428:2130,0.0,0.0,0.0,0.0,0.0,8.12,1.93,0.0
20190428:2230,0.0,0.0,0.0,0.0,0.0,6.73,2.0,0.0
20190428:2330,0.0,0.0,0.0,0.0,0.0,5.54,2.0,0.0
20190429:0030,0.0,0.0,0.0,0.0,0.0,5.0,1.72,0.0
20190429:0130,0.0,0.0,0.0,0.0,0.0,4.88,1.52,0.0
20190429:0230,0.0,0.0,0.0,0.0,0.0,4.4,1.45,0.0
20190429:0330,0.0,0.0,0.0,0.0,0.0,3.76,1.59,0.0
20190429:0430,42.46,0.0,6.6,0.21,0.5,3.17,1.59,0.0
20190429:0530,2634.03,33.49,35.16,3.69,10.73,3.06,1.52,0.0
20190429:0630,18081.07,191.86,82.26,7.99,21.28,5.5,0.97,0.0
20190429:0730,33490.64,340.27,138.04,12.06,31.8,10.03,0.9,0.0
20190429:0830,47319.3,528.26,163.86,16.37,41.85,12.13,0.55,0.0
20190429:0930,58651.29,702.51,174.43,20.12,50.71,13.65,1.1,0.0
20190429:1030,64527.91,794.91,181.73,22.18,57.14,14.69,1.52,0.0
20190429:1130,66619.98,850.81,165.75,23.15,59.42,15.47,1.59,0.0
20190429:1230,64641.96,858.87,121.36,22.68,56.64,16.14,1.72,0.0
20190429:1330,56572.54,727.13,114.79,20.18,49.88,16.55,1.79,0.0
20190429:1430,44102.52,529.86,116.33,16.5,40.85,16.65,1.59,0.0
20190429:1530,27443.36,287.73,119.38,11.67,30.72,16.6,1.52,0.0
20190429:1630,11078.08,140.23,58.97,7.74,20.18,16.15,2.0,0.0
20190429:1730,1598.4,0.0,35.61,1.15,9.65,15.33,1.72,0.0
20190429:1830,0.0,0.0,0.0,0.0,-0.52,13.79,1.1,0.0
20190429:1930,0.0,0.0,0.0,0.0,0.0,12.83,0.9,0.0
20190429:2030,0.0,0.0,0.0,0.0,0.0,12.76,0.9,0.0
20190429:2130,0.0,0.0,0.0,0.0,0.0,10.06,1.45,0.0
20190429:2230,0.0,0.0,0.0,0.0,0.0,8.44,1.59,0.0
20190429:2330,0.0,0.0,0.0,0.0,0.0,7.53,1.45,0.0
20190430:0030,0.0,0.0,0.0,0.0,0.0,6.73,1.31,0.0
20190430:0130,0.0,0.0,0.0,0.0,0.0,6.87,1.1,0.0
20190430:0230,0.0,0.0,0.0,0.0,0.0,6.63,0.97,0.0
20190430:0330,0.0,0.0,0.0,0.0,0.0,5.96,1.03,0.0
20190430:0430,58.28,0.0,7.08,0.23,0.75,5.16,1.1,0.0
20190430:0530,2689.81,31.21,37.1,3.6,10.97,4.67,1.24,0.0
20190430:0630,18643.84,215.58,68.8,8.39,21.51,6.23,1.1,0.0
20190430:0730,36147.98,428.59,92.97,13.16,32.04,11.37,0.76,0.0
20190430:0830,48896.89,616.7,116.11,17.33,42.1,13.94,0.0,0.0
20190430:0930,58498.11,770.59,126.82,20.61,50.98,15.77,0.48,0.0
20190430:1030,63883.55,867.56,131.6,22.72,57.45,17.14,0.69,0.0
20190430:1130,64999.1,895.66,129.19,23.4,59.73,18.22,0.76,0.0
20190430:1230,62288.48,851.27,124.78,22.68,56.92,19.07,0.83,0.0
20190430:1330,55176.44,739.16,108.68,20.41,50.11,19.69,0.9,0.0
20190430:1430,44216.57,569.17,94.7,17.04,41.05,20.05,1.1,0.0
20190430:1530,28723.75,352.66,82.42,12.64,30.91,20.06,1.24,0.0
20190430:1630,10790.86,139.65,58.52,7.77,20.37,19.72,1.24,0.0
20190430:1730,1630.87,0.0,36.65,1.18,9.84,18.99,0.83,0.0
20190430:1830,0.0,0.0,0.0,0.0,-0.32,18.37,0.34,0.0
20190430:1930,0.0,0.0,0.0,0.0,0.0,15.05,1.31,0.0
20190430:2030,0.0,0.0,0.0,0.0,0.0,15.52,0.97,0.0
20190430:2130,0.0,0.0,0.0,0.0,0.0,14.29,0.83,0.0
20190430:2230,0.0,0.0,0.0,0.0,0.0,12.3,0.69,0.0
20190430:2330,0.0,0.0,0.0,0.0,0.0,10.73,0.48,0.0
20190501:0030,0.0,0.0,0.0,0.0,0.0,9.88,0.55,0.0
20190501:0130,0.0,0.0,0.0,0.0,0.0,8.38,1.03,0.0
20190501:0230,0.0,0.0,0.0,0.0,0.0,7.51,1.17,0.0
20190501:0330,0.0,0.0,0.0,0.0,0.0,7.27,1.17,0.0
20190501:0430,28.31,0.0,6.28,0.2,0.99,7.38,1.17,0.0
20190501:0530,2713.95,18.51,43.35,2.78,11.2,7.68,0.97,0.0
20190501:0630,17046.27,185.11,79.56,7.84,21.74,9.72,0.48,0.0
20190501:0730,34460.5,402.33,100.08,12.76,32.27,12.59,0.28,0.0
20190501:0830,48140.98,584.7,124.73,16.88,42.35,14.47,0.83,0.0
20190501:0930,58517.26,758.91,129.16,20.49,51.26,15.79,0.9,0.0
20190501:1030,63282.49,840.97,136.22,22.32,57.75,16.99,1.03,0.0
20190501:1130,58484.79,719.4,176.63,20.67,60.03,17.92,1.03,0.0
20190501:1230,55126.48,664.2,177.82,19.78,57.19,18.45,0.9,0.0
20190501:1330,50466.15,611.0,154.16,18.57,50.35,19.02,0.83,0.0
20190501:1430,39721.07,467.56,123.12,15.26,41.26,19.42,1.03,0.0
20190501:1530,27048.76,300.73,106.98,11.86,31.1,19.44,1.31,0.0
20190501:1630,10275.55,121.02,65.62,7.24,20.55,19.16,1.45,0.0
20190501:1730,1693.3,0.0,37.57,1.21,10.03,18.49,1.31,0.0
20190501:1830,0.0,0.0,0.0,0.0,-0.12,17.02,1.1,0.0
20190501:1930,0.0,0.0,0.0,0.0,0.0,15.07,1.38,0.0
20190501:2030,0.0,0.0,0.0,0.0,0.0,15.61,0.97,0.0
20190501:2130,0.0,0.0,0.0,0.0,0.0,14.73,0.21,0.0
20190501:2230,0.0,0.0,0.0,0.0,0.0,13.59,0.14,0.0
20190501:2330,0.0,0.0,0.0,0.0,0.0,12.24,0.21,0.0
20190502:0030,0.0,0.0,0.0,0.0,0.0,11.11,0.34,0.0
20190502:0130,0.0,0.0,0.0,0.0,0.0,10.32,0.41,0.0
20190502:0230,0.0,0.0,0.0,0.0,0.0,9.71,0.34,0.0
20190502:0330,0.0,0.0,0.0,0.0,0.0,9.32,0.28,0.0
20190502:0430,109.89,0.0,8.48,0.27,1.23,8.99,0.28,0.0
20190502:0530,3020.31,20.67,47.05,3.1,11.43,8.95,0.34,0.0
20190502:0630,12330.16,111.55,82.54,5.76,21.97,9.97,0.28,0.0
20190502:0730,27676.46,268.5,132.0,10.34,32.5,13.4,0.9,0.0
20190502:0830,39525.44,384.86,187.53,13.94,42.59,14.63,1.17,0.0
20190502:0930,40509.45,345.41,243.88,14.31,51.52,15.97,1.45,0.0
20190502:1030,35250.55,220.32,292.26,13.01,58.04,16.76,1.59,0.0
20190502:1130,26832.31,131.76,258.48,10.32,60.33,17.22,1.66,0.0
20190502:1230,19235.74,40.48,243.94,8.07,57.46,17.12,1.24,0.0
20190502:1330,20168.14,50.18,247.38,8.41,50.58,16.82,0.97,0.0
20190502:1430,17248.57,71.84,184.01,7.17,41.46,16.51,0.9,0.0
20190502:1530,16731.58,81.04,170.26,7.33,31.29,16.04,0.62,0.0
20190502:1630,7796.36,43.01,91.33,4.61,20.73,16.12,0.69,0.0
20190502:1730,2007.99,0.0,42.02,1.35,10.22,15.16,0.28,0.0
20190502:1830,0.0,0.0,4.48,0.14,0.08,14.16,0.41,0.0
